id,title,description,price,size,age,floors,bedroom,city,location,district,house_type,pattern,tags,environment,url,image,CP_value
26,373坪廠辦合一可三照,,240000,373.29,0.1,3,0,台中市,台中市大里區美村街,,廠房,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0036f729115569b,8d25a7acedfdfa096f17385a97d8ee52.jpeg,0.2513803923917587
27,蔡Sir力推關連唯有三千坪三照廠,,1000000,3000.0,0.0,0,0,台中市,台中市龍井區台西南路,,廠房,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=05088d28381373f,c293d4495cd1846610d7dfcfc39657a1.jpeg,0.00953943896844874
28,御盟國際驛館 酒店式公寓,,61500,56.0,2.3,15,2,高雄市,高雄市三民區九如一路,,公寓,2房2廳2衛 - 2陽台1廚房,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=053a4a225742420,b7af398494ebd07527610c66913ab8ea.jpeg,0.0
29,台中市精密機械園區-廠房出租(B1~5F),,1680000,1972.0,0.1,5,0,台中市,台中市南屯區精科中一路,,廠房,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=056658292329239,,0.015864272189671888
30,民生萬吉2房2衛明亮樓寓,,32000,31.28,8.1,7,2,台南市,台南市中西區民生路二段/民生萬吉,,電梯大廈,2房2廳2衛 - 1陽台1廚房,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0b191a289778414,88bbe8ebb0a79252379527b709781aa4.jpeg,0.5004531980306139
31,巨蛋捷運瑞豐商圈店面1+2樓,,38000,40.0,43.0,2,0,高雄市,高雄市鼓山區華榮路,,透天厝,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0f9918292030127,c2e0c1f17ee4481ff7dfbaaaf5f794dc.jpeg,0.5447176490082607
32,276坪廠房出租（二層）近廣豐新天地,,207000,276.0,0.1,2,0,桃園市,桃園市桃園區國際路一段,,廠房,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=01bda0291265700,2d1c56f6530085c8c6edeb93aaf6c21b.jpeg,0.3864974209869233
33,★大樹區九曲路★建地廠房出租,,38000,80.0,0.1,0,0,高雄市,高雄市大樹區九曲路,,廠房,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=04113c289236925,9e57f1c378156e685147def4fa0cfc96.jpeg,0.0
34,❗️廠房出租❗️ 屏東市全新合法廠房-可廠登,,43000,116.97,0.1,0,0,屏東縣,屏東縣屏東市大成路,,廠房,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0518a4251565298,894219c4827487d708f3999bdfed7c69.jpeg,0.006775498274486508
35,長安東路一段(2樓店面),,92000,36.54,44.1,2,0,台北市,台北市中山區長安東路一段/明道大廈,,電梯大廈,,,有對外窗;為邊間,https://www.rakuya.com.tw/rent/rent_item?ehid=0f6cb1291143079,916e42d89584029426b3eca3e79e085f.jpeg,4.7116177998125187e-07
36,小巨蛋站/邊間店面/輕食 飲料 服飾皆可,,120000,15.37,0.1,1,0,台北市,台北市松山區南京東路四段,,電梯大廈,,,有對外窗;為邊間,https://www.rakuya.com.tw/rent/rent_item?ehid=0a582c292296736,50b02d4da62e47b19077a17ef2a3fbfe.jpeg,1.3557328745467063
37,＊中科雲世紀＊二房二衛無限視野景觀好房＋平車,,28500,22.0,9.0,14,2,台中市,台中市西屯區國安一路/太子雲世紀B區,,電梯大廈,2房2廳2衛,,有對外窗;為邊間;有中庭;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0b6b0f292812011,03373e22113d0bb21544a3ffd2625a2f.jpeg,0.22811878011344594
38,安(專)草衙商圈1+2大面寬樓店,,50000,68.82,0.1,2,0,高雄市,高雄市前鎮區天后街,,電梯大廈,,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0be41b292373572,68998fe2a46c528b010d0ce4a110bab0.jpeg,0.061715634765706316
39,可寵⭐短租⭐可租補⭐2月免租金,,6799,10.0,0.0,5,1,台中市,台中市南區合作街,,透天厝,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0aedda293928832,50a8f08e404bc85eb79f62129f1711b0.jpeg,1.3807570567872485
40,✨秒殺物件✨獨洗獨曬流理台✨超神祕優惠✨騎樓機車位,,7799,14.0,0.0,3,1,台中市,台中市北區進化北路,,電梯大廈,1房1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=091e8429392877b,af90049532e2adaf07fd1c23fef6c36f.jpeg,0.0
41,整棟新蓋✨陽台獨洗流理台✨租屋補助✨寵物天堂✨機車,,11999,16.0,0.0,2,1,台中市,台中市北區國強街,,電梯大廈,1房1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0e8f1829392880b,8b4bd8ed208f7467dfc90c144de43219.jpeg,0.6559685457376375
42,全新裝潢✨陽台獨洗✨租屋補助✨貓奴首選✨秒殺可短租,,9999,14.0,0.0,4,1,台中市,台中市西屯區中清路二段,,透天厝,1房1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=088a0c293928769,2d11bb538a355a4a04057d546617a47f.jpeg,0.17199137259657782
43,✨秒殺物件✨陽台獨洗流理台✨超省雙租屋補助✨機車位,,10799,15.0,0.0,4,1,台中市,台中市北區健行路,,透天厝,1房1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0ca519293928799,e189fa3a79e9a5954ffe16606831e086.jpeg,0.8246434527423052
44,全新秒殺大空間✨陽台獨洗流理台✨雙租屋補助✨可貓✨,,14999,19.0,0.0,2,1,台中市,台中市北屯區天津路四段,,透天厝,1房1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0e41ff293928781,25e61dcbc6ef72e3d0146eef5e66651f.jpeg,2.079609060894215
45,小資首選✨住戶單純✨絕美採光✨租屋補助✨寵物天堂,,6799,12.0,0.0,5,1,台中市,台中市南區合作街,,透天厝,1房1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=07763929392881f,1766205e9a73bcf2bdf8823fb4361fa7.jpeg,1.3807570567872485
46,✨秒殺物件✨陽台獨洗✨台水台電✨租屋補助✨電梯套房,,7999,14.0,0.0,2,1,台中市,台中市北區梅亭街,,電梯大廈,1房1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=092f5a29392874e,67fcc9480296aa7b12b86af1646734b5.jpeg,1.4140020462641762
47,✨秒殺物件✨陽台獨洗✨住戶單純✨租屋補助✨電梯套房,,5599,11.0,0.0,1,1,台中市,台中市東區三賢街,,電梯大廈,1房1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0a54b7293928733,13c050813184b8ca05d9072657d5abce.jpeg,0.0
48,雙租補❤️電梯大空間❤️洗脫烘洗衣機❤️子母車❤️,,11499,10.0,0.0,7,1,台中市,台中市北區學士路,,電梯大廈,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0fb7ac293911503,18c04dfe1a093d2a9601e46b7e50da5f.jpeg,0.13203777933057625
49,全新未住❤️雙租補一房一廳❤️陽台獨洗獨曬❤️可寵,,15999,15.0,0.0,1,1,台中市,台中市太平區宜欣十街,,透天厝,1房1廳1衛 - 1陽台,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=069009293909992,4ff1fabac54f77f2b6e1be00b912b369.jpeg,0.4417262904110365
50,租補類一房一廳❤️陽台獨洗獨曬❤️可貓咪❤️飲水機,,10999,10.0,0.0,1,1,台中市,台中市西屯區西屯路三段,,透天厝,1房1衛 - 1陽台,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=085f41293910926,605845149cb50d17021a9924c475bfda.jpeg,0.5456367707775481
51,雙租補❤️超大空間兩房❤️陽台獨洗獨曬❤️子母車,,21499,22.0,0.0,4,2,台中市,台中市北區中清路一段,,透天厝,2房1廳1衛 - 1陽台,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0dadf6293905722,741ced7ebd09310510f8514641a79590.jpeg,0.8221693529319594
52,工業風樓中樓兩房❤️陽台獨洗獨曬❤️可寵❤️子母車,,15499,16.0,0.0,1,2,台中市,台中市西屯區漢成街,,樓中樓,2房1廳1衛 - 1陽台,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=08049c29390792b,b8dab66a03d23b82befc35cfd40e7c2f.jpeg,0.9215893608361152
53,小資首選❤️租補套房❤️飲水機❤️近一中中科中國醫,,4999,6.0,0.0,3,1,台中市,台中市北區學士路,,公寓,1房1衛,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0b2c8129391088f,6399296ffe630c9d09fc7502102bc7d1.jpeg,0.14606249608021155
54,小資雙租補套房❤️可寵❤️飲水機❤️子母車❤️,,7499,8.0,0.0,2,1,台中市,台中市北區五常街,,透天厝,1房1衛,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0af8ca293911420,74bd3fcbfb23cf6b28916dc02b1f4253.jpeg,0.0
55,高採光一房一廳❤️陽台獨洗獨曬❤️可貓咪❤️飲水機,,16499,15.0,0.0,3,1,台中市,台中市西屯區西屯路三段,,電梯大廈,1房1廳1衛 - 1陽台,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=04f2f1293910943,2cd1f8b4756edf3f526141e977c6f844.jpeg,0.5209226306236612
56,租補超大空間一房一廳❤️可寵❤️台電❤️可工作室,,19585,19.0,0.0,2,1,台中市,台中市北屯區太原路三段,,電梯大廈,1房1廳1衛,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=00726d29391115a,556022b2003eb49c659f1342d681fe08.jpeg,0.24679483808540326
57,小資首選❤️租補電梯❤️陽台獨洗獨曬❤️台水電,,8499,9.0,0.0,4,1,台中市,台中市北區山西路二段,,電梯大廈,1房1衛 - 1陽台,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=080d09293911376,0bc2919bc858f92b5064700dcdccbd4a.jpeg,1.2588111496116217
58,雙租補電梯大空間❤️陽台獨洗獨曬❤️台水電❤️可貓,,9499,10.0,0.0,12,1,台中市,台中市西屯區至善路,,電梯大廈,1房1衛 - 1陽台,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0e4bd5293905627,3d97d074294d55cf861520e17c3e1878.jpeg,1.1902465582315254
59,小資首選❤️租補電梯❤️陽台獨洗獨曬❤️飲水機,,8099,8.0,0.0,12,1,台中市,台中市南區五權南路,,電梯大廈,1房1衛 - 1陽台,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=023fe1293911184,d26cba65addc63a4a2b412746011511e.jpeg,0.0
60,台水電❤️高級一房一廳❤️陽台獨洗獨曬❤️乾溼分離,,22999,20.0,0.0,4,1,台中市,台中市西屯區文華路,,電梯大廈,1房1廳1衛 - 1陽台1廚房,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0820ce293911213,6774210c66715dc532f18929997fd0c3.jpeg,1.7245875176711438
61,雙租補小資套房❤️可寵❤️飲水機❤️子母車,,7499,8.0,0.0,4,1,台中市,台中市北屯區軍和街,,透天厝,1房1衛,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=06c514293911390,aeb462f12d197e38d8d40219f80ba420.jpeg,0.6214761190981656
62,電梯大空間三房❤️台水台電❤️陽台獨洗獨曬❤️,,21999,22.0,0.0,7,3,台中市,台中市南區復興路二段,,電梯大廈,3房1廳2衛 - 1陽台1廚房,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0da876293911496,938f63cab7760f709d3a34194c9a206c.jpeg,0.5046116369643826
63,租補小資套房❤️可貓咪❤️陽台獨洗獨曬❤️飲水機,,7999,9.0,0.0,4,1,台中市,台中市南區國光路,,公寓,1房1衛 - 1陽台,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0a92b6293911535,62752ffd6fc77c297e4c9b8e385cfbce.jpeg,0.7197627744521619
64,小資首選❤️租補電梯套房❤️台水台電❤️子母車❤️,,7499,8.0,0.0,9,1,台中市,台中市西屯區河南路二段,,電梯大廈,1房1衛,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=025c96293911042,e4022d54e909b44443035b675c8282c7.jpeg,1.3139486822654924
65,雙租補電梯❤️陽台獨洗獨曬❤️代收包裹❤️子母車,,9499,9.0,0.0,3,1,台中市,台中市西屯區逢甲路,,電梯大廈,1房1衛 - 1陽台,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0006ec29391132e,f346df1a1dbb1113ee85fd93119f4c3c.jpeg,1.5993312996741251
66,電梯大空間兩房一廳❤️雙陽台獨洗獨曬❤️平面車位,,28999,30.0,0.0,4,2,台中市,台中市北屯區四平路,,電梯大廈,2房1廳1衛 - 2陽台1廚房,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0f973529391136a,d6c3b3363dba5f347b62f452516b23fd.jpeg,0.0
67,租補大空間一房一廳❤️可寵❤️包水台電❤️子母車,,11999,13.0,0.0,3,1,台中市,台中市龍井區新興路,,透天厝,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0a7e2f293911461,f12f713c03dac3966601ef5ac5860879.jpeg,0.340636485175331
68,全新超大套房流理台陽台獨洗有電梯,,9999,12.0,0.0,2,0,台中市,台中市中區三民路二段,,電梯大廈,開放式格局,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0077fe29392875e,bce3143676f1de5aedbe85df97364234.jpeg,0.0
69,可嬰兒可貓狗獨洗曬全新完工,,8999,11.0,0.0,3,0,台中市,台中市北區衛道路,,透天厝,開放式格局,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0cfd9b29392872e,8d0189afb54807b6ac8f4fd1a9196024.jpeg,0.0
70,可租補流理台獨洗曬️近文心公園,,11999,14.0,0.0,4,0,台中市,台中市南屯區惠心街,,電梯大廈,開放式格局,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=07aa6829392864d,4a2a958a2d208424c1f00ff01366ea03.jpeg,1.1007424706665698
71,洗脫烘戶數少類一房一廳變頻冷氣,,12499,15.0,0.0,4,0,台中市,台中市北區崇德路一段,,電梯大廈,開放式格局,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=06a755293928562,521a372c338b4106bf9833cf3e56648d.jpeg,1.3241774117704932
72,超大空間變頻冷氣獨洗曬第四台,,8999,11.0,0.0,2,0,台中市,台中市東區十甲東路,,透天厝,開放式格局,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=095e0929392853f,2ae7cd217a230aef9330690e1194fa20.jpeg,0.0
73,✨電梯新屋✨租屋補助✨陽台獨洗✨加賴約看✨速洽✨,,7999,13.0,0.0,2,1,台中市,台中市北區梅亭街,,電梯大廈,1房1衛 - 1陽台,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0907a229392066c,b68a9dd2634b9355a8ed9973ec12ef46.jpeg,1.4140020462641762
74,可租補⛽陽台獨洗代收包裹近逢甲大學,,7349,10.0,0.0,4,0,台中市,台中市西屯區西屯路二段上石北二巷,,電梯大廈,開放式格局,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=07a168293928492,6b77fdce8fc75e540d6ad5fb8b2370be.jpeg,0.0
75,✨電梯美屋✨租屋補助✨陽台獨洗✨小資首選✨加賴約看,,7499,13.0,0.0,2,1,台中市,台中市北區進化北路,,透天厝,1房1衛 - 1陽台,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0f40e9293920419,62568c91ef77dcf53de6b7e3c92f59f1.jpeg,0.0
76,北區中國醫@全新完工@兩房一廳@可租補@獨洗陽台,,20000,20.0,0.0,4,2,台中市,台中市北區中清路一段,,透天厝,2房1廳1衛 - 1陽台,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=00a6ab293922498,ec35f3385091873fcabac33060eb2e86.jpeg,0.8287136900314199
77,北區近科博館@類一房一廳@獨洗陽台@可租補,,10800,12.0,0.0,4,1,台中市,台中市北區健行路,,透天厝,1房1衛 - 1陽台,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0137b7293922702,e9df60ffef7304417213547458c26298.jpeg,0.8246345330385274
78,近逢甲全新整理@台水台電@家具自選@陽台獨洗,,9000,10.0,0.0,3,1,台中市,台中市西屯區華夏巷西五弄,,公寓,1房1衛 - 1陽台,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=08e37b293922615,a110bbfe1006c429a24c8e0e2ad9b85f.jpeg,1.8944812640165338
79,全新未住@類一房一廳@可寵物@可租補@室內機車位,,15000,15.0,0.0,3,1,台中市,台中市北屯區天津路四段,,透天厝,1房1廳1衛 - 1陽台,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0492b3293923385,8bcc647f6f9a5fb4d561121feee52927.jpeg,2.0795933787480747
80,近新光遠百秒殺@電梯管理員@陽台獨洗@可租補汽車位,,14000,14.0,0.0,6,1,台中市,台中市西屯區青海路二段/喜來登,,電梯大廈,1房1衛 - 1陽台,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0e3812293923264,d779f8f32a10891032d441ea520a2ed1.jpeg,1.1235080549179324
81,全新未住@德鑫G7@可寵物@高樓層@可租補,,20500,18.0,0.0,9,1,台中市,台中市北區北平四街/德鑫G7首綻/德鑫雙捷奏,,電梯大廈,1房1廳1衛 - 1陽台1廚房,,有對外窗;有中庭;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0a7e22293923500,d00bf355ea75807940115deb0033f256.jpeg,0.8548710877533972
82,西屯近文華@獨洗陽台@可租補@電梯套房@機車位,,8200,10.0,0.0,5,1,台中市,台中市西屯區漢成六街,,透天厝,1房1衛 - 1陽台,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=089eba293924907,aabbe33684c07380107dfdc4a5067568.jpeg,1.0026287329687433
83,✨電梯新屋✨雙租屋補助✨陽台獨洗✨加賴約看✨超新✨,,12699,15.0,0.0,3,1,台中市,台中市南屯區五權西路二段,,電梯大廈,1房1衛 - 1陽台,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0cb5df29388963d,d1178270da707c2d2e25ae00264139f2.jpeg,0.0
84,樓中樓專屬機車人臉辨識可租補,,14499,16.0,0.0,2,0,台中市,台中市西屯區工業區三十八路,,樓中樓,開放式格局,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0656a4293923251,2f35e7fc3f885be7a2a7a85496b0fc27.jpeg,0.3219037576465502
85,可租補✨精美樓中樓✨近逢甲商圈✨子母車✨大空間,,9000,12.0,5.0,1,1,台中市,台中市西屯區至善路,,透天厝,1房1廳1衛,,有對外窗;樓中樓,https://www.rakuya.com.tw/rent/rent_item?ehid=071369293891340,2ac49e45f9f5d60d4470b5f09afed7ba.jpeg,1.1978919788414852
86,高CP值超大空間陽台,,9499,12.0,0.0,4,0,台中市,台中市西屯區福中八街,,透天厝,開放式格局,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0475dd29392267a,ef0eec8afdb647bbe4f6f7257eafddfb.jpeg,0.6191282517187514
87,可貓可狗整棟新蓋可租補樓下機能很好,,6999,9.0,0.0,4,0,台中市,台中市龍井區遊園北路,,電梯大廈,開放式格局,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=08fd43293922571,16df78ed737eb27dbfe9ffffa1a58044.jpeg,0.199220976603735
88,超大間套房流理台️可租補⛽大陽台,,12999,15.0,0.0,5,0,台中市,台中市西屯區西屯路二段,,電梯大廈,開放式格局,,有對外窗;陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0ae542293922441,be00ca71d0ad0fd8d5513e6e3ac89272.jpeg,0.9623891040436987
